actor,movie,revenue
Rip Torn,Men in Black,800.66 million
Rip Torn,Canadian Bacon,0.25 million
Rip Torn,Senseless,17.44 million
Rip Torn,Defending Your Life,43.96 million
Rip Torn,Dolly Dearest,43.96 million
Michael York,Austin Powers: The Spy Who Shagged Me,407.04 million
Michael York,Austin Powers: International Man of Mystery,91.95 million
Michael York,A Knight in Camelot,43.96 million
Sylvester Stallone,The Specialist,250.62 million
Sylvester Stallone,Cop Land,60.94 million
Sylvester Stallone,Judge Dredd,162.41 million
Sylvester Stallone,Assassins,43.36 million
Sylvester Stallone,Stop! Or My Mom Will Shoot,109.73 million
Sylvester Stallone,Daylight,221.34 million
Sylvester Stallone,Oscar,37.73 million
Sylvester Stallone,Rocky V,200.18 million
Sylvester Stallone,Demolition Man,240.09 million
Sylvester Stallone,Cliffhanger,384.92 million
Sam Shepard,Thunderheart,43.96 million
Sam Shepard,The Pelican Brief,294.75 million
Leonard Nimoy,Star Trek VI: The Undiscovered Country,155.15 million
